epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1962.02,0.9072,1.2939,0.83063,1.3491,0.91219,0.84152,0.92461,0.70926,0.90011,0.83058,0.89509,0.66543,0.88344,1.06652,0.7364,1.58391,0.00214046,0.00214046,0.00214046
72,1988.41,0.87833,1.27331,0.81485,1.31844,0.91499,0.84179,0.93627,0.70517,0.91294,0.80726,0.8985,0.6579,0.89072,1.01426,0.71149,1.59998,0.00201611,0.00201611,0.00201611
73,2014.91,0.88633,1.227,0.80854,1.33934,0.86959,0.87709,0.92827,0.703,0.83872,0.85707,0.88556,0.6528,0.85144,1.01011,0.74027,1.56114,0.00189475,0.00189475,0.00189475
74,2041.17,0.8985,1.26907,0.8096,1.34273,0.85451,0.80388,0.89878,0.66243,0.81264,0.79888,0.85449,0.61247,0.95823,1.14839,0.84055,1.65761,0.00177651,0.00177651,0.00177651
75,2067.67,0.84998,1.22802,0.78509,1.29536,0.92217,0.85196,0.92694,0.71032,0.90263,0.8352,0.8901,0.66779,0.82958,1.0156,0.72858,1.53601,0.00166149,0.00166149,0.00166149
76,2094.22,0.87242,1.27051,0.80938,1.32242,0.90295,0.8576,0.93433,0.71924,0.88248,0.839,0.90292,0.68039,0.83778,0.99399,0.71043,1.52,0.00154982,0.00154982,0.00154982
77,2121.12,0.8722,1.19971,0.7978,1.32661,0.88956,0.84078,0.93249,0.70614,0.86925,0.82123,0.89659,0.66524,0.85376,1.00242,0.70655,1.55248,0.00144161,0.00144161,0.00144161
78,2147.76,0.86431,1.31809,0.79486,1.31784,0.90202,0.81564,0.9281,0.70576,0.89741,0.79609,0.89039,0.66562,0.86642,0.96215,0.73962,1.5688,0.00133695,0.00133695,0.00133695
79,2174.35,0.87584,1.35803,0.80485,1.32746,0.85981,0.87709,0.93499,0.71743,0.84081,0.85569,0.90021,0.67053,0.82458,1.02645,0.74063,1.51317,0.00123596,0.00123596,0.00123596
80,2200.99,0.85561,1.21879,0.7872,1.30639,0.90265,0.82882,0.9319,0.71858,0.89698,0.81006,0.8997,0.68107,0.8135,1.02119,0.71231,1.51345,0.00113873,0.00113873,0.00113873
81,2227.67,0.84733,1.17186,0.77489,1.31576,0.873,0.88326,0.93945,0.72391,0.85367,0.8637,0.907,0.68513,0.81615,0.98138,0.71655,1.49836,0.00104537,0.00104537,0.00104537
82,2254.35,0.84798,1.24652,0.7669,1.30112,0.92464,0.8225,0.94164,0.7149,0.90265,0.81285,0.9057,0.67804,0.81668,0.94589,0.70557,1.52722,0.000955951,0.000955951,0.000955951
83,2280.97,0.84157,1.17908,0.76833,1.28559,0.94443,0.80709,0.94048,0.72158,0.9238,0.79609,0.90506,0.68574,0.81086,0.99132,0.71486,1.52262,0.000870577,0.000870577,0.000870577
84,2307.62,0.85032,1.16785,0.77659,1.30522,0.92006,0.84078,0.94261,0.73572,0.93027,0.80447,0.90375,0.69621,0.80819,0.99782,0.69892,1.51217,0.000789327,0.000789327,0.000789327
85,2334.85,0.85247,1.27394,0.7661,1.32024,0.86748,0.896,0.93933,0.73325,0.84578,0.87317,0.90012,0.68878,0.80477,0.99219,0.70671,1.49766,0.000712282,0.000712282,0.000712282
86,2361.58,0.84642,1.28038,0.78135,1.303,0.89729,0.87151,0.94725,0.74047,0.87657,0.85299,0.90834,0.70274,0.79275,0.98085,0.69492,1.47849,0.000639518,0.000639518,0.000639518
87,2388.17,0.84315,1.22541,0.76175,1.29679,0.87895,0.88827,0.94541,0.73594,0.87104,0.86872,0.90567,0.69327,0.79939,0.98761,0.68759,1.48857,0.000571106,0.000571106,0.000571106
88,2414.76,0.85032,1.22046,0.76786,1.3014,0.89974,0.86313,0.94075,0.73316,0.87969,0.84358,0.9032,0.68739,0.80568,0.99062,0.69791,1.50499,0.000507115,0.000507115,0.000507115
89,2441.48,0.85671,1.19086,0.76619,1.31609,0.89446,0.87592,0.94087,0.73983,0.94298,0.81006,0.9023,0.69328,0.79177,0.97896,0.70428,1.48788,0.000447606,0.000447606,0.000447606
90,2468.12,0.82789,1.33912,0.76408,1.30062,0.94355,0.84916,0.94335,0.74481,0.92838,0.8352,0.90713,0.70296,0.77883,0.99508,0.69577,1.46764,0.00039264,0.00039264,0.00039264
91,2501.37,0.6043,0.88734,0.57207,1.23763,0.92004,0.86781,0.93618,0.73873,0.89931,0.84826,0.89814,0.68405,0.80011,1.02525,0.71322,1.4949,0.00034227,0.00034227,0.00034227
92,2527.86,0.58482,0.84716,0.5042,1.23188,0.92421,0.85162,0.93864,0.73927,0.9381,0.80447,0.89931,0.69316,0.80222,1.02812,0.69241,1.50111,0.000296546,0.000296546,0.000296546
93,2554.18,0.57822,0.79119,0.50049,1.24335,0.93473,0.8324,0.94085,0.74425,0.91632,0.81564,0.9018,0.69884,0.80075,1.02551,0.69385,1.50979,0.000255513,0.000255513,0.000255513
94,2580.41,0.57655,0.8449,0.48572,1.22632,0.93805,0.8352,0.94091,0.74228,0.91873,0.81844,0.90301,0.69512,0.80025,1.01045,0.68815,1.50595,0.000219212,0.000219212,0.000219212
95,2606.76,0.58376,0.77885,0.48349,1.24339,0.93756,0.83886,0.94218,0.74172,0.91866,0.82026,0.90369,0.69806,0.80421,1.00434,0.68842,1.50813,0.000187678,0.000187678,0.000187678
96,2633.03,0.58172,0.77412,0.47972,1.22458,0.90759,0.86313,0.94092,0.74152,0.90396,0.82402,0.90248,0.6995,0.80353,1.01504,0.68181,1.50506,0.000160943,0.000160943,0.000160943
97,2659.45,0.59379,0.75307,0.48955,1.24186,0.92721,0.85393,0.94049,0.73994,0.88864,0.8352,0.9015,0.69733,0.80575,1.01791,0.67643,1.512,0.000139032,0.000139032,0.000139032
98,2685.89,0.58586,0.86494,0.49644,1.21726,0.922,0.85475,0.94268,0.74235,0.9051,0.83799,0.90833,0.69514,0.80449,1.01831,0.67043,1.51242,0.000121968,0.000121968,0.000121968
99,2712.33,0.57639,0.80169,0.47566,1.22414,0.90261,0.86313,0.94291,0.74097,0.89342,0.8429,0.90968,0.69103,0.8003,1.00734,0.6729,1.50644,0.000109768,0.000109768,0.000109768
100,2738.73,0.57038,0.7871,0.47263,1.22063,0.90655,0.86714,0.9449,0.74517,0.90026,0.84916,0.91136,0.69596,0.79869,1.01438,0.67424,1.50394,0.000102443,0.000102443,0.000102443
