epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,355.749,0.74517,0.53167,2.37045,0.98792,1,0.995,0.84085,0.66393,0.37315,2.47706,0.00092704,0.00092704,0.00092704
124,358.717,0.77439,0.5476,2.43479,0.98366,1,0.995,0.85533,0.62365,0.37141,2.4758,0.000870577,0.000870577,0.000870577
125,361.621,0.78076,0.55815,2.47772,0.96405,1,0.99361,0.85478,0.61092,0.37623,2.47071,0.000815947,0.000815947,0.000815947
126,364.552,0.77306,0.54445,2.33098,0.96604,1,0.99361,0.86557,0.61505,0.37623,2.4647,0.000763174,0.000763174,0.000763174
127,367.549,0.73148,0.52665,2.35303,0.9667,1,0.99361,0.86352,0.62464,0.37619,2.46314,0.000712282,0.000712282,0.000712282
128,370.439,0.72396,0.5237,2.32518,0.97184,0.98631,0.99444,0.86521,0.63435,0.37104,2.46828,0.000663292,0.000663292,0.000663292
129,373.375,0.78618,0.54021,2.37954,0.97946,0.97143,0.99444,0.86709,0.63147,0.36495,2.47763,0.000616227,0.000616227,0.000616227
130,376.416,0.74629,0.51981,2.33927,0.96913,1,0.99361,0.86496,0.6148,0.36734,2.49146,0.000571106,0.000571106,0.000571106
131,379.408,0.77896,0.57649,2.39874,0.96725,1,0.99361,0.86935,0.59882,0.36414,2.50443,0.00052795,0.00052795,0.00052795
132,382.418,0.75673,0.5848,2.46662,0.9665,1,0.99361,0.86998,0.58972,0.36121,2.51276,0.000486777,0.000486777,0.000486777
133,385.39,0.74969,0.54172,2.39477,0.96584,1,0.98944,0.86544,0.58318,0.36201,2.51995,0.000447606,0.000447606,0.000447606
134,388.297,0.73437,0.4912,2.29866,0.9653,1,0.98889,0.86818,0.58003,0.36526,2.51936,0.000410454,0.000410454,0.000410454
135,391.199,0.78643,0.60548,2.45594,0.96421,1,0.98806,0.86052,0.58225,0.36527,2.51768,0.000375337,0.000375337,0.000375337
136,394.125,0.80146,0.58181,2.34183,0.96447,1,0.98944,0.86378,0.58716,0.36231,2.51754,0.00034227,0.00034227,0.00034227
137,397.122,0.6953,0.50192,2.29364,0.96452,1,0.99028,0.86555,0.59467,0.36658,2.51699,0.000311268,0.000311268,0.000311268
138,400.085,0.75045,0.48685,2.40508,0.96389,1,0.99028,0.86162,0.60042,0.36944,2.5155,0.000282345,0.000282345,0.000282345
139,403.046,0.69466,0.46851,2.28059,0.96388,1,0.99028,0.86226,0.59737,0.36973,2.50498,0.000255513,0.000255513,0.000255513
140,406.026,0.76673,0.51072,2.26168,0.96351,1,0.99028,0.86732,0.5961,0.37385,2.49975,0.000230784,0.000230784,0.000230784
141,416.624,0.56036,0.39488,2.42324,0.95737,1,0.99028,0.87199,0.59272,0.38749,2.49142,0.000208169,0.000208169,0.000208169
142,419.782,0.52212,0.36239,2.29355,0.95203,1,0.99028,0.87057,0.58837,0.39346,2.48575,0.000187678,0.000187678,0.000187678
143,423.09,0.52444,0.37008,2.27127,0.94554,1,0.99028,0.8708,0.58165,0.3944,2.48337,0.00016932,0.00016932,0.00016932
144,426.128,0.52498,0.36454,2.43395,0.94419,1,0.99028,0.87286,0.57822,0.39323,2.48643,0.000153102,0.000153102,0.000153102
145,429.07,0.50978,0.33909,2.35467,0.94332,1,0.99028,0.87463,0.57401,0.39273,2.48815,0.000139032,0.000139032,0.000139032
146,431.939,0.49929,0.355,2.21803,0.94316,1,0.99028,0.8783,0.57424,0.39117,2.49283,0.000127117,0.000127117,0.000127117
147,434.805,0.50834,0.32734,2.30705,0.94283,1,0.99028,0.88325,0.57476,0.39096,2.50012,0.00011736,0.00011736,0.00011736
148,437.761,0.48776,0.33687,2.36415,0.94277,1,0.99028,0.87905,0.57746,0.39122,2.50096,0.000109768,0.000109768,0.000109768
149,440.739,0.51435,0.3449,2.37097,0.94292,1,0.99028,0.87214,0.58248,0.38773,2.50286,0.000104342,0.000104342,0.000104342
150,443.62,0.50171,0.33751,2.3877,0.94266,1,0.99111,0.87278,0.58484,0.38605,2.50304,0.000101086,0.000101086,0.000101086
