epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,205.947,1.26179,1.02314,1.49818,0.77993,0.86486,0.90285,0.55948,1.20891,1.03027,1.79377,0.00214046,0.00214046,0.00214046
72,208.848,1.19617,0.99119,1.46511,0.82951,0.78378,0.87848,0.54298,1.19826,1.0576,1.81363,0.00201611,0.00201611,0.00201611
73,211.671,1.17167,0.99216,1.47831,0.74365,0.86486,0.87729,0.5677,1.1661,1.05976,1.76323,0.00189475,0.00189475,0.00189475
74,214.421,1.19194,1.0377,1.41094,0.79188,0.82286,0.90617,0.59066,1.21413,1.08784,1.80394,0.00177651,0.00177651,0.00177651
75,217.322,1.14419,1.0015,1.45245,0.78554,0.89098,0.90922,0.60192,1.20576,1.04008,1.85119,0.00166149,0.00166149,0.00166149
76,220.169,1.07557,0.9516,1.43281,0.83079,0.94595,0.94419,0.59231,1.19037,1.00814,1.84366,0.00154982,0.00154982,0.00154982
77,222.999,1.13792,0.94289,1.41562,0.80633,0.90035,0.92622,0.57081,1.21218,1.00728,1.85594,0.00144161,0.00144161,0.00144161
78,225.793,1.12689,0.94224,1.44302,0.79252,0.86486,0.90345,0.56422,1.205,0.98337,1.84679,0.00133695,0.00133695,0.00133695
79,228.783,1.16006,0.98986,1.48434,0.76739,0.86486,0.8849,0.53697,1.26402,1.00711,1.89358,0.00123596,0.00123596,0.00123596
80,231.771,1.15095,0.95426,1.45769,0.72809,0.94595,0.88951,0.55348,1.2692,1.04014,1.85283,0.00113873,0.00113873,0.00113873
81,234.85,1.12189,0.92645,1.38888,0.73054,0.94595,0.90005,0.52956,1.34937,1.08285,1.9097,0.00104537,0.00104537,0.00104537
82,238.115,1.11137,0.91685,1.40702,0.74377,0.94151,0.91024,0.53066,1.33639,1.0697,1.9045,0.000955951,0.000955951,0.000955951
83,241.246,1.11574,0.87664,1.44211,0.92364,0.78378,0.92378,0.57311,1.20781,0.99373,1.76485,0.000870577,0.000870577,0.000870577
84,244.419,1.1491,1.08033,1.50807,0.85577,0.81081,0.91566,0.60524,1.17083,0.98216,1.73212,0.000789327,0.000789327,0.000789327
